case index 0 = {
num freq, 9788
num column, 38
Waveln,  combin,  H2O,  umix,  O3,  trace,  N2,  H2Ocnt,  molec,  aercld,  HNO3,  aercld,  CO2,  CO,  CH4,  N2O,  O2,  NH3,  NO,  NO2,  SO2,  cloud,  F11,  F12,  CCl3F,  CF4,  F22,  F113,  F114,  R115,  ClONO2,  HNO4,  CHCl2F,  CCl4,  N2O5,  H2-H2,  H2-HE,  H2-CH4,  CH4-CH4
  [nm],  trans,  trans,  trans,  trans,  trans,  trans,  trans,  scat,  trans,  trans,  abtrns,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans
239.5, 0, 1, 0.00121327, 1.8888e-32, 0.999421, 1, 1, 0.0379697, 1.38994e-07, 1, 0.0081562, 1, 1, 1, 1, 0.00121327, 1, 1, 0.999508, 0.999919, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
240.5, 0, 1, 0.00221814, 3.70543e-34, 0.999544, 1, 1, 0.0403803, 1.4294e-07, 1, 0.00830072, 1, 1, 1, 1, 0.00221814, 1, 1, 0.999618, 0.999916, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
241.5, 0, 1, 0.00388413, 1.65277e-35, 0.999555, 1, 1, 0.0428801, 1.46958e-07, 1, 0.00844584, 1, 1, 1, 1, 0.00388413, 1, 1, 0.999622, 0.999912, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
242.5, 0, 1, 0.00652571, 1.01066e-35, 0.999497, 1, 1, 0.0454687, 1.51071e-07, 1, 0.0085926, 1, 1, 1, 1, 0.00652571, 1, 1, 0.999588, 0.999898, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
243.5, 0, 1, 0.0105389, 1.00011e-35, 0.999529, 1, 1, 0.0481462, 1.55291e-07, 1, 0.00874148, 1, 1, 1, 1, 0.0105389, 1, 1, 0.999657, 0.999881, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
244.5, 0, 1, 0.0163919, 9.99996e-36, 0.999568, 1, 1, 0.0509117, 1.59604e-07, 1, 0.00889182, 1, 1, 1, 1, 0.0163919, 1, 1, 0.999732, 0.999857, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
245.5, 0, 1, 0.0246024, 1e-35, 0.999603, 1, 1, 0.0537651, 1.63993e-07, 1, 0.00904245, 1, 1, 1, 1, 0.0246024, 1, 1, 0.999784, 0.999821, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
246.5, 0, 1, 0.0357015, 9.99997e-36, 0.999631, 1, 1, 0.0567057, 1.68459e-07, 1, 0.00919348, 1, 1, 1, 1, 0.0357015, 1, 1, 0.999831, 0.99981, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
247.5, 0, 1, 0.0501922, 9.99998e-36, 0.999655, 1, 1, 0.0597328, 1.73029e-07, 1, 0.00934614, 1, 1, 1, 1, 0.0501922, 1, 1, 0.999866, 0.999788, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
248.5, 0, 1, 0.0685029, 9.99998e-36, 0.999629, 1, 1, 0.0628448, 1.77716e-07, 1, 0.00950091, 1, 1, 1, 1, 0.0685029, 1, 1, 0.999856, 0.999758, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
249.5, 0, 1, 0.0909648, 9.99998e-36, 0.99956, 1, 1, 0.066042, 1.82508e-07, 1, 0.00965722, 1, 1, 1, 1, 0.0909648, 1, 1, 0.999842, 0.999728, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
250.5, 0, 1, 0.11778, 9.99995e-36, 0.999531, 1, 1, 0.0693227, 1.87385e-07, 1, 0.00981381, 1, 1, 1, 1, 0.11778, 1, 1, 0.999852, 0.99967, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
251.5, 0, 1, 0.148949, 1e-35, 0.999533, 1, 1, 0.0726862, 1.9235e-07, 1, 0.00997073, 1, 1, 1, 1, 0.148949, 1, 1, 0.99989, 0.999642, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
252.5, 0, 1, 0.184249, 1e-35, 0.999494, 1, 1, 0.07613, 1.97425e-07, 1, 0.010129, 1, 1, 1, 1, 0.184249, 1, 1, 0.999897, 0.999604, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
253.5, 0, 1, 0.223274, 9.99997e-36, 0.999444, 1, 1, 0.0796536, 2.02627e-07, 1, 0.0102896, 1, 1, 1, 1, 0.223274, 1, 1, 0.999899, 0.999536, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
254.5, 0, 1, 0.265482, 1e-35, 0.999377, 1, 1, 0.0832561, 2.07951e-07, 1, 0.0104519, 1, 1, 1, 1, 0.265482, 1, 1, 0.999899, 0.999469, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
255.5, 0, 1, 0.310224, 9.99994e-36, 0.999337, 1, 1, 0.0869347, 2.13376e-07, 1, 0.0106149, 1, 1, 1, 1, 0.310224, 1, 1, 0.999898, 0.999441, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
256.5, 0, 1, 0.356777, 9.99996e-36, 0.99929, 1, 1, 0.090689, 2.18892e-07, 1, 0.010778, 1, 1, 1, 1, 0.356777, 1, 1, 0.999896, 0.999397, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
257.5, 0, 1, 0.404393, 1e-35, 0.999241, 1, 1, 0.0945167, 2.24522e-07, 1, 0.0109422, 1, 1, 1, 1, 0.404393, 1, 1, 0.999897, 0.999353, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
258.5, 0, 1, 0.452336, 1e-35, 0.999173, 1, 1, 0.0984168, 2.30284e-07, 1, 0.0111083, 1, 1, 1, 1, 0.452336, 1, 1, 0.999893, 0.999287, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
259.5, 0, 1, 0.499919, 9.99999e-36, 0.999099, 1, 1, 0.102387, 2.36169e-07, 1, 0.011276, 1, 1, 1, 1, 0.499919, 1, 1, 0.999884, 0.999217, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
260.5, 0, 1, 0.546525, 9.99998e-36, 0.999023, 1, 1, 0.106425, 2.42153e-07, 1, 0.011444, 1, 1, 1, 1, 0.546525, 1, 1, 0.999884, 0.999145, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
261.5, 0, 1, 0.591636, 1e-35, 0.99897, 1, 1, 0.11053, 2.48242e-07, 1, 0.0116125, 1, 1, 1, 1, 0.591636, 1, 1, 0.999879, 0.999093, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
262.5, 0, 1, 0.634822, 9.99998e-36, 0.998932, 1, 1, 0.114699, 2.5446e-07, 1, 0.0117824, 1, 1, 1, 1, 0.634822, 1, 1, 0.999871, 0.999064, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
263.5, 0, 1, 0.67576, 9.99995e-36, 0.998875, 1, 1, 0.118931, 2.60819e-07, 1, 0.0119543, 1, 1, 1, 1, 0.67576, 1, 1, 0.999858, 0.999017, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
264.5, 0, 1, 0.714226, 1e-35, 0.998775, 1, 1, 0.123224, 2.67308e-07, 1, 0.0121276, 1, 1, 1, 1, 0.714226, 1, 1, 0.999856, 0.998915, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
265.5, 0, 1, 0.750073, 1.0006e-35, 0.998678, 1, 1, 0.127575, 2.73892e-07, 1, 0.0123011, 1, 1, 1, 1, 0.750073, 1, 1, 0.999855, 0.998823, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
266.5, 1.4013e-45, 1, 0.78324, 1.04362e-35, 0.998594, 1, 1, 0.131983, 2.80578e-07, 1, 0.0124748, 1, 1, 1, 1, 0.78324, 1, 1, 0.999849, 0.998746, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
267.5, 3.79752e-43, 1, 0.813729, 3.26338e-35, 0.998518, 1, 1, 0.136447, 2.87402e-07, 1, 0.0126501, 1, 1, 1, 1, 0.813729, 1, 1, 0.999846, 0.998677, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
268.5, 1.31575e-40, 1, 0.841596, 2.5733e-33, 0.998429, 1, 1, 0.140962, 2.94374e-07, 1, 0.0128274, 1, 1, 1, 1, 0.841596, 1, 1, 0.999819, 0.998599, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
269.5, 9.92163e-39, 1, 0.866939, 1.86223e-31, 0.998331, 1, 1, 0.145529, 3.01476e-07, 1, 0.0130058, 1, 1, 1, 1, 0.866939, 1, 1, 0.999815, 0.998515, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
270.5, 5.65252e-37, 1, 0.889884, 1.02029e-29, 0.998227, 1, 1, 0.150144, 3.08677e-07, 1, 0.0131842, 1, 1, 1, 1, 0.889884, 1, 1, 0.99981, 0.998416, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
271.5, 2.4094e-35, 1, 0.91058, 4.11586e-28, 0.99809, 1, 1, 0.154806, 3.15988e-07, 1, 0.0133631, 1, 1, 1, 1, 0.91058, 1, 1, 0.999802, 0.998284, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
272.5, 1.0101e-33, 1, 0.929184, 1.61617e-26, 0.997941, 1, 1, 0.159513, 3.23444e-07, 1, 0.0135435, 1, 1, 1, 1, 0.929184, 1, 1, 0.999792, 0.998148, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
273.5, 4.5149e-32, 1, 0.945867, 6.7777e-25, 0.99786, 1, 1, 0.164261, 3.31067e-07, 1, 0.0137259, 1, 1, 1, 1, 0.945867, 1, 1, 0.999785, 0.998081, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
274.5, 1.98232e-30, 1, 0.960787, 2.83406e-23, 0.997817, 1, 1, 0.16905, 3.38836e-07, 1, 0.0139094, 1, 1, 1, 1, 0.960787, 1, 1, 0.999769, 0.998051, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
275.5, 8.512e-29, 1, 0.974065, 1.15991e-21, 0.997754, 1, 1, 0.173877, 3.46735e-07, 1, 0.0140928, 1, 1, 1, 1, 0.974065, 1, 1, 0.99976, 0.997989, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
276.5, 3.78294e-27, 1, 0.985475, 4.90548e-20, 0.997661, 1, 1, 0.178741, 3.54772e-07, 1, 0.0142767, 1, 1, 1, 1, 0.985475, 1, 1, 0.999751, 0.997907, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
277.5, 1.38521e-25, 1, 0.993941, 1.73423e-18, 0.997557, 1, 1, 0.18364, 3.62977e-07, 1, 0.0144622, 1, 1, 1, 1, 0.993941, 1, 1, 0.999739, 0.997825, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
278.5, 3.60118e-24, 1, 0.998392, 4.38922e-17, 0.997474, 1, 1, 0.18857, 3.71356e-07, 1, 0.0146495, 1, 1, 1, 1, 0.998392, 1, 1, 0.999714, 0.99775, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
279.5, 6.47235e-23, 1, 0.999762, 7.6471e-16, 0.997374, 1, 1, 0.193531, 3.79878e-07, 1, 0.014838, 1, 1, 1, 1, 0.999762, 1, 1, 0.999701, 0.997669, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
280.5, 1.01877e-21, 1, 0.999981, 1.14869e-14, 0.997273, 1, 1, 0.19852, 3.88507e-07, 1, 0.0150264, 1, 1, 1, 1, 0.999981, 1, 1, 0.999691, 0.997578, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
281.5, 1.66177e-20, 1, 1, 1.79223e-13, 0.997235, 1, 1, 0.203537, 3.97243e-07, 1, 0.015215, 1, 1, 1, 1, 1, 1, 1, 0.999687, 0.997549, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
