Label,SKR_max,SKR_mean,SK_total_bits,Sifted_max,Sifted_mean,Sifted_total_bits,QBER_max,QBER_mean,QBER_sum,BCR_max,BCR_mean,BCR_total_counts,DCR_max,DCR_mean,DCR_total_counts,LinkLength_max_m,KeyTime_total_s,TotalLoss_dB_max,TotalLoss_dB_mean,TotalLoss_dB_sum,geometric_dB_max,geometric_dB_mean,geometric_dB_sum,turbulence_dB_max,turbulence_dB_mean,turbulence_dB_sum,apt_dB_max,apt_dB_mean,apt_dB_sum,atmospheric_dB_max,atmospheric_dB_mean,atmospheric_dB_sum,transmitterTelescopeEfficiency_dB_max,transmitterTelescopeEfficiency_dB_mean,transmitterTelescopeEfficiency_dB_sum,receiverTelescopeEfficiency_dB_max,receiverTelescopeEfficiency_dB_mean,receiverTelescopeEfficiency_dB_sum,detectionEfficiency_dB_max,detectionEfficiency_dB_mean,detectionEfficiency_dB_sum,sourceEfficiency_dB_max,sourceEfficiency_dB_mean,sourceEfficiency_dB_sum,jitter_dB_max,jitter_dB_mean,jitter_dB_sum,filterEfficency_dB_max,filterEfficency_dB_mean,filterEfficency_dB_sum,timeGateOverlap_dB_max,timeGateOverlap_dB_mean,timeGateOverlap_dB_sum
1550nm,3764.675786,529.1711774,80139.1946,45458.20083,33916.88034,5232479.317,0.419386258,0.207695486,32.19280035,1803494.174,797980.3703,122772470.9,4,4,616,940413.7455,43,42.05719979,39.00601526,6045.932365,28.85536889,27.62098135,4281.252109,0.000258386,0.000253321,0.039264822,0.083246353,0.083246353,12.90318474,11.4730184,9.65621267,1496.712964,0.778160072,0.778160072,120.6148111,0.409586077,0.409586077,63.4858419,0.457574906,0.457574906,70.92411037,0,0,0,0,0,0,0,0,0,5.11E-07,5.11E-07,7.92E-05
2036nm,8699.075161,2361.664375,363478.8886,26980.9522,20553.18604,3172252.51,0.329186885,0.136296744,21.12599535,578223.7251,256090.3779,39400786.96,4000,4000,616000,940413.7455,57,42.64721257,40.05869201,6209.097262,31.19401373,29.95491149,4643.011281,0.000143048,0.000140152,0.021723558,0.048441514,0.048441514,7.508434622,8.658221106,7.308794993,1132.863224,0.778160072,0.778160072,120.6148111,0.409586077,0.409586077,63.4858419,1.5490196,1.5490196,240.098038,0,0,0,0.000334568,0.000334568,0.051858079,0,0,0,0.009306365,0.009303544,1.442049375
2310nm,8659.314601,2500.474776,385050.5981,22805.91577,17527.55535,2705602.844,0.277000713,0.109885718,17.03228632,349943.1261,159137.1922,24487951.88,4000,4000,616000,940413.7455,62,42.89502233,40.45192664,6270.048629,32.27921669,31.03832145,4810.939824,0.000108714,0.000106487,0.01650541,0.037678045,0.037678045,5.840096912,7.766118571,6.56389988,1017.404481,0.778160072,0.778160072,120.6148111,0.409586077,0.409586077,63.4858419,1.5490196,1.5490196,240.098038,0,0,0,0.000334568,0.000334568,0.051858079,0,0,0,0.074834879,0.074820463,11.59717183
3420nm,0,0,0,10109.3733,8264.571163,1275030.768,0.320852833,0.20703763,32.09083261,199027.7954,132381.2585,20370419.14,12000,12000,1848000,940413.7455,0,46.73551722,44.4256735,6885.979392,35.65974743,34.41450651,5334.248508,4.62E-05,4.52E-05,0.007013452,0.017229933,0.017229933,2.6706396,6.915466945,5.850777549,906.8705201,0.778160072,0.778160072,120.6148111,0.409586077,0.409586077,63.4858419,1.5490196,1.5490196,240.098038,0,0,0,0.000334568,0.000334568,0.051858079,0,0,0,1.406098894,1.406013943,217.9321612
