case index 2 = {
num freq, 3000
num column, 38
Waveln,  combin,  H2O,  umix,  O3,  trace,  N2,  H2Ocnt,  molec,  aercld,  HNO3,  aercld,  CO2,  CO,  CH4,  N2O,  O2,  NH3,  NO,  NO2,  SO2,  cloud,  F11,  F12,  CCl3F,  CF4,  F22,  F113,  F114,  R115,  ClONO2,  HNO4,  CHCl2F,  CCl4,  N2O5,  H2-H2,  H2-HE,  H2-CH4,  CH4-CH4
  [nm],  trans,  trans,  trans,  trans,  trans,  trans,  trans,  scat,  trans,  trans,  abtrns,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans,  trans
2001, 0.24065, 0.952642, 0.319701, 1, 0.999974, 1, 0.998983, 0.999433, 0.785815, 1, 0.897915, 0.319759, 1, 0.999992, 0.999831, 1, 0.999974, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2002, 0.194187, 0.928109, 0.266147, 1, 0.999979, 1, 0.999033, 0.999434, 0.785909, 1, 0.897947, 0.266189, 1, 0.999995, 0.999849, 1, 0.999979, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2003, 0.169706, 0.904421, 0.240274, 1, 0.999986, 1, 0.99908, 0.999435, 0.786001, 1, 0.897978, 0.240306, 1, 0.999995, 0.999873, 1, 0.999986, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2004, 0.154022, 0.903916, 0.218685, 1, 0.999983, 1, 0.999125, 0.999437, 0.786093, 1, 0.898009, 0.21871, 1, 0.999993, 0.99989, 1, 0.999983, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2005, 0.156662, 0.909966, 0.219984, 1, 0.999972, 1, 0.999165, 0.999438, 0.786184, 1, 0.898041, 0.220006, 1, 0.999987, 0.999908, 1, 0.999972, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2006, 0.183223, 0.920494, 0.252469, 1, 0.999978, 1, 0.999203, 0.999439, 0.786276, 1, 0.898071, 0.25249, 1, 0.999981, 0.999927, 1, 0.999978, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2007, 0.239153, 0.948172, 0.318536, 1, 0.999987, 1, 0.999239, 0.99944, 0.786368, 1, 0.898103, 0.318566, 1, 0.999977, 0.999934, 1, 0.999987, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2008, 0.306191, 0.973183, 0.398164, 1, 0.999988, 1, 0.999273, 0.999441, 0.786459, 1, 0.898134, 0.398224, 1, 0.999981, 0.999892, 1, 0.999988, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2009, 0.344713, 0.989444, 0.442679, 0.999999, 0.999982, 1, 0.999304, 0.999442, 0.78655, 1, 0.898165, 0.442775, 1, 0.999989, 0.999822, 1, 0.999982, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2010, 0.317993, 0.995509, 0.406579, 0.999999, 0.999986, 1, 0.999334, 0.999443, 0.786641, 1, 0.898197, 0.406669, 1, 0.999995, 0.999809, 1, 0.999986, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2011, 0.275808, 0.994215, 0.353263, 0.999998, 0.999991, 1, 0.999363, 0.999444, 0.786731, 1, 0.898228, 0.35332, 1, 0.999997, 0.999862, 1, 0.999991, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
